part_number,name,spec_frequency,name_contains_part_number,url
SG-210STF 24.0000ML0,EPSON XTAL OSC XO 24.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG-210STF-24.0000ML0
SG-210STF 12.2880ML0,EPSON XTAL OSC XO 12.2880MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG-210STF-12.2880ML0
SG-210STF 25.0000ML0,EPSON XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG-210STF-25.0000ML0
"O 25,0-JO32-B-1V3-1-T1-LF",Jauch Quartz XTAL OSC XO 25.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/O-25-0-JO32-B-1V3-1-T1-LF
COM1305-50.000-EXT-T-TR,Raltron Electronics XTAL OSC XO 50MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/COM1305-50.000-EXT-T-TR
ECS-2333-160-BN-TR,ECS Inc. XTAL OSC XO 16.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2333-160-BN-TR
ECS-2333-500-BN-TR,ECS Inc. XTAL OSC XO 50.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2333-500-BN-TR
ASDDV-25.000MHZ-LC-T,Abracon LLC OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASDDV-25.000MHZ-LC-T
ASDDV-50.000MHZ-LR-T,Abracon LLC OSC XO 50.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASDDV-50.000MHZ-LR-T
ASE-1.8432MHZ-L-C-T,Abracon LLC XTAL OSC XO 1.8432MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-1.8432MHZ-L-C-T
ECS-2033-240-BN,ECS Inc. XTAL OSC XO 24.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-240-BN
ASE3-27.000MHZ-K-T,Abracon LLC XTAL OSC XO 27.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE3-27.000MHZ-K-T
ECS-2033-500-BN,ECS Inc. XTAL OSC XO 50.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-500-BN
ECS-2333-250-BN-TR,ECS Inc. OSC XO 25.000MHZ 3.3V CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2333-250-BN-TR
ECS-327MVATX-1-CN-TR,ECS Inc. XTAL OSC XO 32.768KHZ SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327MVATX-1-CN-TR
ECS-3963-240-BN-TR,ECS Inc. XTAL OSC XO 24.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3963-240-BN-TR
ECS-2018-240-BN,ECS Inc. XTAL OSC XO 24.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2018-240-BN
ECS-2033-120-BN,ECS Inc. XTAL OSC XO 12.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-120-BN
ECS-327MVATX-3-CN-TR,ECS Inc. XTAL OSC XO 32.768KHZ SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327MVATX-3-CN-TR
ECS-327MVATX-3-CN-TR3,ECS Inc. XTAL OSC XO 32.7680KHZ SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327MVATX-3-CN-TR3
ECS-327MVATX-2-CN-TR3,ECS Inc. XTAL OSC XO 32.7680KHZ SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327MVATX-2-CN-TR3
ECS-3225MV-080-BN-TR,ECS Inc. XTAL OSC XO 8.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-080-BN-TR
ECS-3225MV-160-CN-TR,ECS Inc. XTAL OSC XO 16.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-160-CN-TR
ECS-327MVATX-2-CN-TR,ECS Inc. XTAL OSC XO 32.7680KHZ SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327MVATX-2-CN-TR
ECS-3225MV-250-CN-TR,ECS Inc. XTAL OSC XO 25.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-250-CN-TR
ECS-3225MV-240-BN-TR,ECS Inc. XTAL OSC XO 24.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-240-BN-TR
ECS-3225MV-120-BN-TR,ECS Inc. XTAL OSC XO 12.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-120-BN-TR
ECS-3225MV-250-BN-TR,ECS Inc. XTAL OSC XO 25.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-250-BN-TR
ECS-3225MV-160-BN-TR,ECS Inc. XTAL OSC XO 16.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-160-BN-TR
ECS-3225MV-250-CN-TR3,ECS Inc. XTAL OSC XO 25.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-250-CN-TR3
ECS-3225MV-500-CN-TR,ECS Inc. XTAL OSC XO 50.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-500-CN-TR
ECS-2520MV-160-CN-TR,ECS Inc. OSC XO 16.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-160-CN-TR
KC2016Z25.0000C1KX00,KYOCERA AVX XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/KC2016Z25.0000C1KX00
ECS-2520MV-333.3-BN-TR,ECS Inc. XTAL OSC XO 33.3333MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-333.3-BN-TR
ECS-2520MV-250-BN-TR,ECS Inc. XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-250-BN-TR
ECS-2520MV-240-BN-TR,ECS Inc. XTAL OSC XO 24.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-240-BN-TR
ECS-2520MV-250-CN-TR,ECS Inc. XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-250-CN-TR
ECS-2520MV-080-CN-TR,ECS Inc. OSC XO 8.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-080-CN-TR
ECS-2520MV-480-CN-TR,ECS Inc. XTAL OSC XO 48.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-480-CN-TR
ASV-12.000MHZ-EJ-T,Abracon LLC XTAL OSC XO 12.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASV-12.000MHZ-EJ-T
